ask,bid,due,emittent,ratio,strike,wkn,wkn_link
0.27,0.26,17.12.2018,CITI,0.112,9.2821,CX6ZYY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX6ZYY
0.31,0.29,19.12.2018,HSBC,0.112,8.9251,TD6T96,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD6T96
2.7,2.68,20.03.2020,DZ Bank AG,1.0,9.6,DD556Y,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD556Y
2.3,2.28,18.12.2019,HypoVereinsbank/UniCredit,1.0,10.0,HX17PY,http://zertifikat.finanzen.nethttp://g.finanzen.net/hvb-ko-suche?produkt=/optionsscheine/Auf-Deutsche-Bank-AG/HX17PY
2.48,2.46,20.09.2019,DZ Bank AG,1.0,9.6,DD556W,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD556W
1.97,1.95,21.12.2018,DZ Bank AG,1.0,9.8,DD52ED,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD52ED
2.58,2.56,20.03.2020,DZ Bank AG,1.0,9.8,DD52EP,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD52EP
2.38,2.36,21.06.2019,DZ Bank AG,1.0,9.6,DD556V,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD556V
2.46,2.44,20.12.2019,DZ Bank AG,1.0,9.8,DD52EM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD52EM
2.2,2.18,18.12.2019,HypoVereinsbank/UniCredit,1.0,10.2,HX17PZ,http://zertifikat.finanzen.nethttp://g.finanzen.net/hvb-ko-suche?produkt=/optionsscheine/Auf-Deutsche-Bank-AG/HX17PZ
2.25,2.23,21.06.2019,DZ Bank AG,1.0,9.8,DD52EH,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD52EH
0.241,0.236,20.12.2019,Goldman Sachs,0.1,10.0,GM0LSY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/GM0LSY
0.84,0.83,21.12.2018,DZ Bank AG,1.0,12.0,DD1QTA,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD1QTA
0.0,2.24,19.12.2018,Commerzbank AG,1.1204,9.8176,CD8CPD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CD8CPD
0.12,0.11,11.02.2019,UBS,0.1,11.5,UV6SS4,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6SS4
2.09,2.07,19.06.2019,HypoVereinsbank/UniCredit,1.0,10.0,HX17Q0,http://zertifikat.finanzen.nethttp://g.finanzen.net/hvb-ko-suche?produkt=/optionsscheine/Auf-Deutsche-Bank-AG/HX17Q0
0.096,0.086,12.11.2018,UBS,0.1,11.5,UV526W,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV526W
0.15,0.14,11.03.2019,UBS,0.1,11.0,UV6Q10,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV6Q10
0.13,0.12,14.01.2019,UBS,0.1,11.0,UV5277,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UV5277
1.67,1.65,19.06.2019,HypoVereinsbank/UniCredit,1.0,10.8,HX11P8,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/HX11P8
1.53,1.51,21.12.2018,DZ Bank AG,1.0,10.5,DD507J,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD507J
1.57,1.55,20.03.2020,DZ Bank AG,1.0,12.0,DD5W44,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD5W44
0.78,0.76,13.03.2019,Société Générale S.A.,1.0,12.8,SC6M5Q,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SC6M5Q
2.11,2.08,21.12.2018,DZ Bank AG,1.0,9.6,DD556T,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DD556T
