ask,bid,due,emittent,ratio,strike,wkn,wkn_link
0.52,0.5,15.06.2018,DZ Bank AG,0.112,8.0326,DGM7G0,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DGM7G0
0.0,0.0,17.12.2018,CITI,0.112,9.2821,CX6ZYY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX6ZYY
0.45,0.43,19.12.2018,HSBC,0.112,8.9251,TD6T96,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD6T96
0.0,0.0,17.12.2018,CITI,0.112,9.8176,CX6ZZA,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX6ZZA
2.92,2.9,16.12.2020,HypoVereinsbank/UniCredit,1.0,12.0,HW4HAZ,http://zertifikat.finanzen.nethttp://g.finanzen.net/hvb-ko-suche?produkt=/optionsscheine/Auf-Deutsche-Bank-AG/HW4HAZ
0.0,3.69,19.12.2018,Commerzbank AG,1.1204,9.8176,CD8CPD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CD8CPD
0.38,0.37,20.12.2019,Goldman Sachs,0.1,10.0,GM0LSY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/GM0LSY
0.33,0.32,10.12.2018,UBS,0.112,10.26,UW16QC,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW16QC
0.42,0.4,15.06.2018,DZ Bank AG,0.112,8.9251,DGH015,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DGH015
0.34,0.32,11.06.2018,UBS,0.112,9.8176,UW2GHB,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW2GHB
3.22,3.19,15.12.2021,HypoVereinsbank/UniCredit,1.0,12.0,HW4HC0,http://zertifikat.finanzen.nethttp://g.finanzen.net/hvb-ko-suche?produkt=/optionsscheine/Auf-Deutsche-Bank-AG/HW4HC0
0.0,2.73,19.09.2018,Commerzbank AG,1.1204,10.71,CD87V3,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CD87V3
0.0,0.0,17.09.2018,CITI,0.112,10.71,CX64FN,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX64FN
3.71,3.66,19.12.2018,HSBC,1.1204,9.8176,TD6T97,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD6T97
0.38,0.36,11.06.2018,UBS,0.112,9.3713,UW2LR6,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW2LR6
0.25,0.23,15.06.2018,DZ Bank AG,0.112,10.71,DGG1XY,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/DGG1XY
0.0,0.0,17.12.2018,CITI,1.1204,10.71,CX5QGM,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX5QGM
0.37,0.35,18.12.2019,HSBC,0.112,10.71,TD6JAJ,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD6JAJ
0.35,0.33,19.06.2019,HSBC,0.112,10.71,TD6B05,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/TD6B05
0.0,3.01,19.12.2018,Commerzbank AG,1.1204,10.71,CD87V4,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CD87V4
0.26,0.22,15.06.2018,Société Générale S.A.,0.112,10.71,SE5TMF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/SE5TMF
0.3,0.29,10.12.2018,UBS,0.112,10.71,UW19UF,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/UW19UF
2.53,2.5,18.12.2019,HypoVereinsbank/UniCredit,1.0,12.0,HW4HA4,http://zertifikat.finanzen.nethttp://g.finanzen.net/hvb-ko-suche?produkt=/optionsscheine/Auf-Deutsche-Bank-AG/HW4HA4
6.34,6.32,11.06.2018,CITI,1.1204,10.49,CX5QGD,http://zertifikat.finanzen.net/optionsscheine/Auf-Deutsche-Bank-AG/CX5QGD
